    1	0.000000000	02:42:ac:12:00:03	→	Broadcast   	ARP	42	Who has 172.18.0.2? Tell 172.18.0.3
    2	0.000038197	02:42:ac:12:00:02	→	02:42:ac:12:00:03	ARP	42	172.18.0.2 is at 02:42:ac:12:00:02
    3	0.000595416	  172.18.0.3	→	172.18.0.2  	TCP	74	33930 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3883563982 TSecr=0 WS=128
    4	0.000627400	  172.18.0.2	→	172.18.0.3  	TCP	74	4433 → 33930 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2298523272 TSecr=3883563982 WS=128
    5	0.000651554	  172.18.0.3	→	172.18.0.2  	TCP	66	33930 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3883563983 TSecr=2298523272
    6	0.019238546	  172.18.0.3	→	172.18.0.2  	TLSv1	2119	Client Hello
    7	0.019298348	  172.18.0.2	→	172.18.0.3  	TCP	66	4433 → 33930 [ACK] Seq=1 Ack=2054 Win=63872 Len=0 TSval=2298523290 TSecr=3883564001
    8	0.030759209	  172.18.0.2	→	172.18.0.3  	TLSv1.3	2962	Server Hello, Change Cipher Spec, Application Data
    9	0.030790876	  172.18.0.3	→	172.18.0.2  	TCP	66	33930 → 4433 [ACK] Seq=2054 Ack=2897 Win=63488 Len=0 TSval=3883564013 TSecr=2298523302
   10	0.030803614	  172.18.0.2	→	172.18.0.3  	TCP	1266	4433 → 33930 [PSH, ACK] Seq=2897 Ack=2054 Win=64128 Len=1200 TSval=2298523302 TSecr=3883564001 [TCP segment of a reassembled PDU]
   11	0.030810010	  172.18.0.3	→	172.18.0.2  	TCP	66	33930 → 4433 [ACK] Seq=2054 Ack=4097 Win=62336 Len=0 TSval=3883564013 TSecr=2298523302
   12	0.034617722	  172.18.0.2	→	172.18.0.3  	TCP	2962	4433 → 33930 [PSH, ACK] Seq=4097 Ack=2054 Win=64128 Len=2896 TSval=2298523306 TSecr=3883564013 [TCP segment of a reassembled PDU]
   13	0.034634451	  172.18.0.3	→	172.18.0.2  	TCP	66	33930 → 4433 [ACK] Seq=2054 Ack=6993 Win=60800 Len=0 TSval=3883564017 TSecr=2298523306
   14	0.034643058	  172.18.0.2	→	172.18.0.3  	TLSv1.3	1266	Application Data [TCP segment of a reassembled PDU]
   15	0.034648458	  172.18.0.3	→	172.18.0.2  	TCP	66	33930 → 4433 [ACK] Seq=2054 Ack=8193 Win=60160 Len=0 TSval=3883564017 TSecr=2298523306
   16	0.034767059	  172.18.0.2	→	172.18.0.3  	TLSv1.3	2651	Application Data, Application Data
   17	0.034779502	  172.18.0.3	→	172.18.0.2  	TCP	66	33930 → 4433 [ACK] Seq=2054 Ack=10778 Win=58880 Len=0 TSval=3883564017 TSecr=2298523306
   18	0.037782234	  172.18.0.3	→	172.18.0.2  	TLSv1.3	146	Change Cipher Spec, Application Data
   19	0.038449818	  172.18.0.3	→	172.18.0.2  	TLSv1.3	166	Application Data
   20	0.038903536	  172.18.0.2	→	172.18.0.3  	TLSv1.3	369	Application Data
   21	0.039181009	  172.18.0.2	→	172.18.0.3  	TLSv1.3	369	Application Data
   22	0.039516799	  172.18.0.3	→	172.18.0.2  	TCP	66	33930 → 4433 [ACK] Seq=2234 Ack=11384 Win=64128 Len=0 TSval=3883564022 TSecr=2298523310
   23	0.039766728	  172.18.0.2	→	172.18.0.3  	TLSv1.3	372	Application Data
   24	0.041546269	  172.18.0.3	→	172.18.0.2  	TLSv1.3	90	Application Data
   25	0.042599323	  172.18.0.2	→	172.18.0.3  	TLSv1.3	90	Application Data
   26	0.044737921	  172.18.0.3	→	172.18.0.2  	TCP	66	33930 → 4433 [RST, ACK] Seq=2258 Ack=11714 Win=64128 Len=0 TSval=3883564027 TSecr=2298523314
172.18.0.2	→	172.18.0.3  	TLSv1.3	372	Application Data
   27	1.339372397	  172.18.0.3	→	172.18.0.2  	TLSv1.3	90	Application Data
   28	1.339537974	  172.18.0.3	→	172.18.0.2  	TCP	66	33924 → 4433 [FIN, ACK] Seq=2258 Ack=11690 Win=64128 Len=0 TSval=3883558229 TSecr=2298517517
   29	1.342427117	  172.18.0.2	→	172.18.0.3  	TLSv1.3	90	Application Data
   30	1.342449565	  172.18.0.3	→	172.18.0.2  	TCP	54	33924 → 4433 [RST] Seq=2259 Win=0 Len=0
